timestamp,iterations,solutions,solver_checks,solver_time
1675538847.0350914,1,0,0,0
1675557672.6143348,2,0,1,18825.57669901848
1675567083.5267477,3,1,2,28236.45495080948
1675567182.046313,4,2,3,28334.96177482605
1675567347.853087,5,3,4,28500.75447535515
1675568037.9891238,6,4,5,29190.87715935707
1675568134.1824112,7,5,6,29287.052097320557
1675568421.448941,8,6,10,29574.29676580429
1675568462.1652489,9,7,11,29614.996295928955
1675568637.8347874,10,8,12,29790.652654647827
1675568684.2426968,11,9,48,29837.011613845825
1675568715.4744132,12,10,49,29868.232175588608
1675569157.1808572,13,11,50,30309.929706573486
1675569253.3053086,14,12,51,30406.04104399681
1675570163.3615823,15,13,95,31316.02903008461
1675570201.303065,16,14,96,31353.95797944069
1675570296.8964555,17,15,97,31449.538184404373
1675570393.9770896,18,16,98,31546.60641694069
1675570504.6311607,19,17,99,31657.24811577797
1675571141.7296872,20,18,109,32294.313675880432
1675571201.5305555,21,19,141,32354.07385802269
1675571385.6376305,22,20,165,32538.131785154343
1675571729.4321754,23,21,168,32881.91329598427
1675572285.8764148,24,22,169,33438.34479165077
1675572319.339699,25,23,170,33471.79506158829
1675572405.1079183,26,24,171,33557.55120921135
1675572824.2661805,27,25,214,33976.64178061485
1675572897.332042,28,26,215,34049.6966753006
1675573009.956134,29,27,216,34162.30883598328
1675574123.882127,30,28,252,35276.16693377495
1675836865.748009,31,29,280,298015.7679388523
